title,text,rating,parent_asin,sentiment,cluster
Powerful and speedy!,"It was finally time to upgrade from a mechanical drive to a SSD, and this seemed like a good value for the size. I was not familiar with the brand, but the size and other reviews led me to try this one. Installation was easy, as most SSDs are, this one included. After getting this setup, the difference in speed was astonishing! Very happy with this decision, no turning back.",5,B08DKD8RNG,positive,1
Fun Filter; Use Sparingly,"I have a gold streak filter that I use occasionally with my main lens. This is the first blue streak filter I have used and I use it with my most versatile (and newer) lens, and so far I am pleased with it. It's a specialty filter that is useful in certain situations. The idea behind this filter is that it has grooves in the glass that trap light and the result is a long, blue streak in the image when a light source is bright enough or is in the frame. This kind of filter is very similar to star filters that create 4-, 6- and 8-point stars, though this one creates just straight lines. When used properly this can cause some very dramatic effects in images, such as when photographing street lights or approaching cars at night. I do need to say, though, that this kind of filter can easily be overused if not thoughtful. When used a lot, the effect can get dull and be more of an annoyance; however, when it is sparingly used it can evoke that ""oh wow!"" type of response for the unexpected effect. This is a screw-on filter that will fit most standard lenses with threads. Make sure you select a filter size that is matched to your lens. I like this lens filter and the effect it brings to the table. It is a niche product that should be used sparingly, but when used at the right time it can create an eye-popping streak effect.",5,B0BCPPXHGL,positive,3
Great Cord For Travel,"This cord has everything you need in a hotel room desk set-up, and it looks good too. I've used it several times now on business trips and I'm happy to have it around. Not small enough for my one-laptop day bag, but when I'm on a business trip with 2 laptops, an external monitor, a tablet and 2 phones, this comes in handy!",5,B0BWDNJVJY,positive,4
So convenient,It is so nice to be able to see who is out there. When you get packages you want to be able to see. It is easy to see. It worked fine. I like that you can see and talk to people. It looks fine. The quality was fine. We have had no problems at all. It has many different features.,5,B07XJQF5HG,positive,1
THE Girovo 2020 Full HD 1080P Webcam has a nice ANGLE,"This Girovo 2020 Full HD 1080P Webcam with Microphone and Privacy Cover, 90°Wide-Angle View, with Fixed Focus is a good webcam for not a lot of of GREEN.... SCREEN OZ",5,B089T24GG8,positive,1
Works great,"Works great for my purpose, to provide a cable adapter to connect to the 2.5mm speaker jack output of my Baofeng UV-5R handheld radio. Connection is solid, output level is strong, works great!",5,B01GC6LR84,positive,4
High Price for a mini projector with limitations....,"Pros: Small Pocket size Great for indoor viewing only, ot outside in the pitch dark True HD, and speaker out jacks Popular for college doorms Cons: Low Speaker volume, but it has audio out jacks No stand or tripod mount jack",3,B09G9ZQSQ7,neutral,2
and is very easy to use,"I wanted something to reduce the glare from my built in flash on my Nikon D5300. This does just that, and is very easy to use. When I got it, I took a picture of two oranges and there was a lot of glare. I put on the white diffuser and the next picture was remarkably better. I've posted the pictures so you can see the differences. The thing is relatively light and will at some point break, but the price point is such that you can get a couple of them and keep one as a spare. If you are thinking about this just go ahead and order it. You will not be disappointed.",5,B008525P1O,positive,1
Gorgeous In Person,"I bought my 76 year old mother a tablet for Christmas so she could quit trying to check Facebook on her phone. I purchased this cover because she loves pink. It was stunning in person and she really loved it. The tablet fit perfectly and it doesn't stand up as well as I would like, but she doesn't use it like that to begin with, so it is not a deal-breaker for me. All in all we loved it and will definitely purchase from this seller again!",5,B07R67PQNW,positive,0
Used for Baby Proofing my power strip,After looking at all the baby proof wire capture boxes I finally bought this one. I baby proofed it by using tape to hold it closed. It is perfect and my 1 year old has given up trying to open it. She is still fascinated by the big plug in the wall but no more yanking cords and phone cables out of the power strip.,5,B07CR9WXY2,positive,4
Five Stars,Been working since May 2013 w/o ANY problems!,5,B01FKFBR2E,positive,1
Beautiful smartphone and tablet / Good for first-time smartphone users,"First, let me say that I purchased the Lucid 2 through Verizon, a fact that may be important to readers here who want to read reviews only of products purchased through Amazon. I am a very active Amazon customer but have a Verizon landline account; it was easy to move forward using my existing account. The Lucid 2 looks like a beautiful tablet. It offers two modes: a mode for the first-time smartphone user and a standard mode for the experienced user. I chose the starter mode since I had not previously owned a smartphone. The hardest part of the learning process was inserting the SIM card. You have to pop-open the back cover (also called the battery cover) using the same opening as the charger port. A new user does not want to damage the charger port, and it takes a little patience to be sure that you are handling the delicate SIM card and the removal of the back cover with proper care. After inserting the SIM card and battery, one is instructed to charge the battery. A blue light shows that the battery is charged. At a later time, you can add a battery charging screen (three are available and are stored within the smartphone) so that you can view the progress of the charge. There are video tutorials stored within the smartphone and a very fine series of help screens located at Verizon.com under Support. The smartphone feels very much like a tablet. I was able to watch movie previews by accessing the App (icon) to an online movie site. One of the main reasons that I wanted a smartphone was for weather-watching during hurricane season. There are various ways to use Apps (icons) that are basically shortcuts to features that you wish to use. The weather App also functons like a pop-up screen to give you instantaneous viewing of local time and temperature. My primary interest is the tropics, however, and I am able to access [...] easily. I will download the App from that site at a future time. By the way, you can use Voice to access sites on Google. You can also use Voice to display the name of a person or a telephone number (that you had previously entered); you can then touch the name or number and then send the call. Voice can be used for text-messaging as well. As a young senior (age 63), I really like these Voice features. I own a Canon digital camera and did not buy the Lucid 2 for photography. Those people who do use a smartphone for photography may wish to read reviews about this feature on Lucid 2; my understanding is that three or four other smartphones might be a better choice if photography is one of your priorities when buying a smartphone. I have read some online, professional reviews that criticize the Lucid 2 as being plain from a design perspective. I disagree. One reviewer -- whose opinion matches mine -- said that the Lucid 2 is gorgeous. It is. It is elegant and fun to use. UPDATE: I am having a lot of problems with freezing and lack of responsiveness. A LOT of problems.",4,B007P4XIV2,positive,1
Great for podcasts or YouTubers!,"Lately my son has become interested in producing YouTube videos and podcasts. So, when offered this microphone by AVudio, I grabbed it. Here is what we both found: -This microphone is sturdy. -It is adjustable. -You can adjust the volume settings. -The quality is great. -It is easy to set up. -It has a nice sleek design. -It is easy to connect a headset. -There is a convenient mute button on the front of the mic. -You can use with a Mac computer or a PS4/5. -Connects via USB-C. Definitely a must have for budding YouTubers/Host.",5,B09WMPQYSB,positive,2
It's what I wanted,"So many T V's out there these days. I wanted a great brand and a fair price. I got it with this 32&#34; T V. You can pay more or you can pay less, if you don't want a name Brand. This television looks great and the picture is good too. It has all the hookups for just about anything, even your computer, as a computer screen. Sony BRAVIA has been on the market for a long time. I am glad it came before Christmas for my Grand-kids.",4,B006U1VG9C,positive,1
Easy to install,Easy to put in. Great price for the storage I needed.,5,B0BRZG5TK4,positive,3
Great cable,"I was very happy with this cable. It seemed very sturdy, durable and well made. Everything connected very easily and I had no problem attaching and detaching. It can really make things a lot faster than with the 2.0 technology (note: everything needs to have the 3.0 technology for it work - if the computer's port is only 2.0 then it will go down to 2.0). It was packaged well, and reasonably priced. It works well and no problems at all. I would definitely recommend it.",5,B00L90R2H4,positive,4
Amazon Basics Micro USB Car charger.,Very GOOD product.,4,B00Q4LOLRW,positive,3
Great camera!,"I absolutely love my Nokon D5000. As far as DSLRs go, this is a pretty easy camera to operate, though, for someone who is used to only point and shoot cameras, you may find that it will take a little bit of time and reading before you can use your camera to the fullest potential. I recommend picking up a guide for this camera if you are not a frequent SLR or DSLR user! Overall, the price is great for what you get! While it is larger than a point and shoot, it is still on par as far as portability- it is smaller than some of the higher end DSLRs. The display is awesome since it flips out and rotates- this is great for tripod use! The pictures are nice and crisp, but again, you should know how to use a DSLR to get the best results! If you want to learn a new DSLR or if you want to upgrade to a better camera- this camera is great and I can't recommend it enough!",5,B00WUIHEIQ,positive,1
Works great. Fast read and write speeds and very dependable,Used for a Surface Pro 3. Works great. Fast read and write speeds and very dependable.,5,B00Y095HY6,positive,0
Five Stars,Awesome card - with a much better price point than the GTX 980 which is almost $200. more!!,5,B00OAXPYXG,positive,3
Packaging Issue,This stickers worked well. The 3 stars is for the condition it arrived in. It came in a small zip bag which had some sort of residue on it. I had to disinfect throughly and wipe clean all the stickers. The residue was on the outside and inside of the bag. I was going to give it to my kids for individual use but because of this I made them into a poster for their birthday.,3,B07RHYZMJG,neutral,3
Beautiful but cracked after a few months,"It’s very pretty and fits well, though it adds more weight than I would have expected. Unfortunately, after a few months of light use, the corner cracked today. In light of this, I wouldn’t recommend it.",2,B07H91KX44,negative,0
Think about it before buying,It feels cheap can’t get a lot of the apps,5,B07NPV9Y4F,positive,1
wow. great quality product,"yes, I am ready for the industry to move to USB-C: and this product was fabulously fast in charging my electronics! I was amazed at the lightening speed. The product was well made and I love the whole product, I wished the combo of lengths were on the shorter side - as I use them for home electronics, although my hub loved the longest length for his pro-technology work. this is a quality product and has enough flexibility for those awkward bends.",5,B07VJMBRVQ,positive,4
"... this for my parents van and they seem to like it, They really liked its","I bought this for my parents van and they seem to like it, They really liked its, AC/DC so if they have electric or not, they can still watch tv!",4,B078T77G4Q,positive,1
As described,Works as intended I was scared to buy refurbished but I haven’t had any issues so far.,4,B07FF9P3RL,positive,1
Beautiful and classy,Looks great. Works well. 100% satisfied with this purchase!,5,B07WVZ1CXS,positive,3
The window alarms are fine,"While this is a great idea, there is no off button for the door alarm. Every time you open the door, the chime sounds at a minimum. In addition, you can't just leave your door open. There is no off button. That was not indicated in the materials. The window alarms do have an off button. They would be ideal.",2,B0B65G444N,negative,1
Works great!,I had to run this from one end of the house to the other. It is working out great.,5,B0BMQJYLQV,positive,1
Very good,I loved the case. It fit perfect and is very durable and made with good quality. I’m glad I purchased this case.,5,B01H8VPC1A,positive,0
Sturdy cord!,"Great little plug. Has 2 traditional 3 prong holes, 2 usb, and 2 c plugs. This is really compact too so you can easily use it for travel or for places in your home where you don’t want a bulky plug in strip. It sits flat on the surface. There are no holes on the back to mount it to wall though. We have it filled up in our office and have had no problems.",5,B08Q67TQQZ,positive,4
Bluetooth is a nice upgrade,"I decided against installing this radio myself for reasons. We hired a local shop to do it. It seems to be done correctly and everything is working as it should. The 6.8"" screen is big enough to see and make the choices I want driving. It's working with my LG phone via bluetooth and that was the primary reason I wanted a new stereo in the older Sequoia. We'll see how it fares as time goes by.",4,B084BMWGWV,positive,1
For ATRAC-3 Fans Only (Obsolete after 2010),"This item is now obsolete. Atrac-3 is no longer supported. Why buy this now? Ok, back in 2008 ... if you want to read on ... This Sony MP3 and ATRAC-3 player is a BUY if you have many ATRAC-3 burned music discs and want to preserve your collection, rather than changing it over to MP3. That is basicaly the review in a nutshell. You can continue to read - if you are a SONY product improvement manager, and think ""how can I improve this walkman?"" First, the SPORTS theme is excellent. Nice rugged look and feel, and buttons don't jump on/off at a delicate touch. So, you can put this baby in your gym pants, gym bag, etc. and it will not trigger anything on/off. That was a problem with the Sony DNF430. Everytime I reached for it, the music changed. So, the buttons can make or break its practical use in the sports activity area. Good job with this model. Here, it should get 5 stars. Second, the arm band should be optional. The size of the CD player makes it awkward to hold in the palm of the hand, or strapped onto the arm. It really belongs on the waist area or in a belt assisted carry bag. I am comfortable with my pocket camera in a belt bag, I am also comfortable with my cell phone in a belt pouch. There are many products on the market here for me to buy - which support my needs. Yet, this Sports CD player, because of its protruding handle, cannot fit into any bag. Frustrating? Yeah. Very. The practical usage of this Sports CD player becomes very limited.",3,B0001M2FVY,neutral,1
OK,"These were purchased along time ago. Do not hold as much as I would have through, but work well if you need to store stuff.",4,B08MWHSF8M,positive,3
fits my bamboo CTL-460,I wanted a case for my bamboo CTL-460 but did not like what was on offer from other manufacturers. The details for this carrying case did not say they were for the CTL-460 but I measured my tablet and saw that width-wise it would be perfect. When I got the case the tablet fit in very nicely. I roll up the usb cord and bind it using a Q-knot tie and that fits perfect in the extra space at the top. I then store the tablet pen in the loop under the flap. Now I don't have to worry about my tablet getting scratched while toting my comp and tablet around nor worry about misplacing the pen.,5,B007B5S8BU,positive,0
works great,Arrived quickly. Works great.,5,B07H3VSNMF,positive,3
both devices charged fine. Very frustrating,"If I could rate these cables a negative number, I would. I bought two, as these darn cables don't last any time at all. Neither of the two worked. Both devices ran completely down while plugged into them. When I used the old one (which has a frayed cord), both devices charged fine. Very frustrating, as I have thrown the packaging away, and now both of these cables are headed for the trash.",1,B005IVLJZG,negative,4
Works perfectly,Easy to use. Has extra ports for charging.,4,B09PBL29Z3,positive,4
